isbn13,isbn10,title,author,publisher,description
9780425284681,,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.
9781101884126,,THE GOOD FIGHT,Danielle Steel,Delacorte,Meredith McKenzie embraces and eschews the values of her family of lawyers during the tumultuous 1960s.
9780525520375,,THERE THERE,Tommy Orange,Knopf,A multigenerational story exploring the plight of the urban Native American.
9780062678416,,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.
9780385548922,,THE BOYS FROM BILOXI,John Grisham,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law."
9781668002179,,FAIRY TALE,Stephen King,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.
9780593449554,,DREAMLAND,Nicholas Sparks,Random House,Musicians from different backgrounds are attracted to each other and a mother flees with her son from an abusive husband.
9780316499187,,TRIPLE CROSS,James Patterson,"Little, Brown",Detective Alex Cross and the true-crime author Thomas Tull search for a serial killer known as the Family Man.
9781250145291,,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,"The 18th book in the Chief Inspector Gamache series. When an attic room that was sealed off 160 years ago is opened, an old enemy returns."
9780593422755,,TOM CLANCY: RED WINTER,Marc Cameron,Putnam,The 22nd book in the Jack Ryan series. Ryan goes behind the Berlin Wall in 1985 to investigate an East German defector.
9780316485654,,DESERT STAR,Michael Connelly,"Little, Brown",Ballard and Bosch bury old resentments as they go after two killers.
9781668003053,,GOING ROGUE,Janet Evanovich,Atria,The 29th book in the Stephanie Plum series. The man who abducted the office manager at Vinnie's Bail Bonds demands a mysterious coin in exchange for her.
9781984818546,,NO PLAN B,Lee Child and Andrew Child,Delacorte,The 27th book in the Jack Reacher series. Reacher goes after a killer but is unaware of the bigger implications.
9780063021426,,BABEL,R.F. Kuang,Harper Voyager,"In 1828, Robin Swift studies at Oxford University’s Royal Institute of Translation and faces a choice when Britain pursues a war with China."
9781649374189,,ONYX STORM,Rebecca Yarros,Red Tower,"The third book in the Empyrean series. As enemies gain traction, Violet Sorrengail goes beyond the Aretian wards in search of allies."
